page_downloaded_day,population_current,ice_date_as_of_pop,page_id
2020-04-30,29675.0,2020-04-24,45981e7f78f3c57b5f9e51ce0462c3c3
2020-05-01,29675.0,2020-04-24,cf8391e242ab49e87a9ce086b715e647
2020-05-02,29675.0,2020-04-24,8f4213dd2e2ee40c3fe862a696dbbfc6
2020-05-03,29675.0,2020-04-24,04413923950e6d20de85bd749f524587
2020-05-04,29675.0,2020-04-24,2634d823fa2ac079721872161d3b4bd3
2020-05-05,29675.0,2020-04-24,28b9187cd20de9219fad2b126446be20
2020-05-06,29675.0,2020-04-24,e36967cb879aced0bff90c7aafa6e115
2020-05-07,29675.0,2020-04-24,5a844a4c636a295ec2af6b26ec5a2790
2020-05-08,29675.0,2020-04-24,4025bb93338a5980be893554bb9eb82d
2020-05-09,29675.0,2020-04-24,3f9a6984d5d0642205c72e3ab251e6c6
2020-05-10,29675.0,2020-04-24,abf612d005999044a317c102dd962aae
2020-05-11,29675.0,2020-04-24,0a60014f29eb55765c1829d36c778f60
2020-05-12,29675.0,2020-04-24,1a5f108706c98bc27399c7097599d8e8
2020-05-13,29675.0,2020-04-24,0b3cf5c2dfd863429f95b12e9d818049
2020-05-14,27908.0,2020-05-08,e140d6f43a01523ff62e5de36c338883
2020-05-15,27908.0,2020-05-08,5da26598dd7f16b773ac6ee4b269b0c8
2020-05-16,27908.0,2020-05-08,c4daa44353206f8d3df1be4913ae1814
2020-05-17,27908.0,2020-05-08,2298bd467c3d05e73ad83f3e6f74198d
2020-05-18,27908.0,2020-05-08,d83100828621df99bd1998f39fa3f305
2020-05-19,27908.0,2020-05-08,278dd2cec79eaac3b7a9056a3a61ae2c
2020-05-20,26660.0,2020-05-15,2b0ef90d12866450d88f99b3696859df
2020-05-21,26660.0,2020-05-15,5d08843c19f624b3f2b007c77ead3f3f
2020-05-22,26660.0,2020-05-15,6a6fbec5fe0e21da2f60b59799510c0a
2020-05-23,26660.0,2020-05-15,9375a0beeed0b2947c3c5f9306dca6dd
2020-05-24,26660.0,2020-05-15,8eb12a706bc09f45640af25addfdd76b
2020-05-25,26660.0,2020-05-15,89acdb6f279a18247d435f6ce14b2070
2020-05-26,26660.0,2020-05-15,0d05a94e9a715bd6d9c96ce1604b6f60
2020-05-27,25911.0,2020-05-22,ff0ac4d391976e342025584d8790b59e
2020-05-28,25911.0,2020-05-22,58c36583389cea018f394a816e01428b
2020-05-29,25911.0,2020-05-22,6d513bea57dd3774d6a3424f58e7fe50
2020-05-30,25911.0,2020-05-22,2180614192d5ecbbbe7d6c152c28dd94
2020-05-31,25911.0,2020-05-22,5d508bb3323658abeb844ebfde9227c9
2020-06-01,25911.0,2020-05-23,1f8dbd440b0bdda535aab98ddbc7016b
2020-06-02,25911.0,2020-05-23,40475aeed0ba9e89d32b51700aba7be7
2020-06-03,25421.0,2020-05-30,854a6e77389f4c89a9bd229fe7135429
2020-06-04,25421.0,2020-05-30,4f5b9ddfd7e477fbc9a7eac6e1d969a8
2020-06-05,25421.0,2020-05-30,3d4f33a541ee9aac66fffc630c17ae95
2020-06-06,25421.0,2020-05-30,00d852182216a98e2cec679e96b2bcd7
2020-06-07,25421.0,2020-05-30,92b525f76046b7156412e8f52eec85a6
2020-06-08,25421.0,2020-05-30,a672f622142353f708628d518534bc70
2020-06-09,25421.0,2020-05-30,7dc37e337ba325adef4884693c97bad1
2020-06-10,24713.0,2020-06-06,8c5667e1222308318496a373bcc094d1
2020-06-11,24713.0,2020-06-06,232f2bcd6eb278485099dbf25127db1f
2020-06-12,24713.0,2020-06-06,94a6a89cfab1fcf13777bb63432a0ec9
2020-06-13,24713.0,2020-06-06,2f67a85eddd8a1b47cfb012879fb132b
2020-06-14,24713.0,2020-06-06,6c3d5d4e78dc5edfc9560fdee216e7a0
2020-06-15,24713.0,2020-06-06,785b00c1947507074a3cca1171323fbf
2020-06-16,24713.0,2020-06-06,8221e19b722a54d5333db135ff0efda2
2020-06-17,24041.0,2020-06-13,f9ad4f6dc4fc2e2db8087517e5cd5229
2020-06-18,24041.0,2020-06-13,54b3ff64b89d29595704487a58007bd3
2020-06-19,24041.0,2020-06-13,1d80baf122d33809edf44b3a323cba6c
2020-06-20,24041.0,2020-06-13,559cbb6b263dcc0d359c60ccab242b16
2020-06-21,24041.0,2020-06-13,a70c8addbd306e86ce21cbd7f9dccf11
2020-06-22,24041.0,2020-06-13,3b1b21cce984e3f5a9ae9113b31e1e83
2020-06-23,24041.0,2020-06-13,9b41d9d88d992fa30c0ec8c25a218907
2020-06-24,23429.0,2020-06-24,0a3fe897ddaea24f646f465e9990cfe0
2020-06-25,23429.0,2020-06-24,de4dd0952a6e3511ea2a87d55775cdce
2020-06-26,23429.0,2020-06-24,1106dbe3bf9233f63a68352b215d6ec8
2020-06-27,23429.0,2020-06-24,2e0c8f97062c281afa072aa36853c6b0
2020-06-28,23429.0,2020-06-24,491a817cc8f8705fd05b6733401f8792
2020-06-29,23429.0,2020-06-24,27d25d58bbcee75392f17d72242949dd
2020-06-30,23429.0,2020-06-24,7400d41c5629cb0f12713609d1598965
2020-07-01,22805.0,2020-06-27,58e61a768bb22e61eca72fb1fd26f7f7
2020-07-02,22805.0,2020-06-27,faa13308542440e6da7db7fa2719eea3
2020-07-03,22805.0,2020-06-27,03661af2a6902cc3b8834f1bb05f680b
2020-07-04,22805.0,2020-06-27,afc7b5e281a7e5ee5d482ec1f650d3f7
2020-07-05,22805.0,2020-06-27,c9357648c58c4102b3ee9d0d8bff856e
2020-07-06,22805.0,2020-06-27,a758267716a7a0be0760ba0c034e3b76
2020-07-07,22805.0,2020-06-27,14b81dca2437d8f24b32ae0dfe360feb
2020-07-08,22579.0,2020-07-04,900f99014b3a3bc57d9e5622bc39d28d
2020-07-09,22579.0,2020-07-04,c5e3ab2a627795de39fa994507935cdb
2020-07-10,22579.0,2020-07-04,ad1e96907ccf5c57c0fc12d967ab1ec2
2020-07-11,22579.0,2020-07-04,c6c6c11682c8379b452cfdd5a8765c69
2020-07-12,22579.0,2020-07-04,8bee24420ceb965a8231d080bf27ab20
2020-07-13,22835.0,2020-07-10,528eff09ed5adad43b35d652f1a41a5b
2020-07-14,22835.0,2020-07-10,db78600ce901370223c411288d3a02a3
2020-07-15,22835.0,2020-07-10,37d79f15c12efe880251340a80e92829
2020-07-16,22340.0,2020-07-11,2b7bea6631ad706ba5a99f19badaccdf
2020-07-17,22340.0,2020-07-11,5b1e6b70507d01f404716b5a94166565
2020-07-18,22340.0,2020-07-11,627d1a24432052193c164dd1de38f355
2020-07-19,22340.0,2020-07-11,b119bbf6e47464b4f5752015a6b63b4f
2020-07-20,22405.0,2020-07-17,37382c67df9b6c137ce1510193206d58
2020-07-21,22405.0,2020-07-17,0ca1d0aac973906b9cb1a699d06f69e4
2020-07-22,22142.0,2020-07-18,493cb39c24c355583a57fd5ce9893e4d
2020-07-23,22142.0,2020-07-18,913c2f827c7ffd30a7434c25528c0f28
2020-07-24,22142.0,2020-07-18,5a070f6d3732deeebb92249730ba0e02
2020-07-25,22142.0,2020-07-18,b65795d3008d88c47f2e71d90284354d
2020-07-26,22142.0,2020-07-18,3be886232052720d2bb16d12cd160378
2020-07-27,22067.0,2020-07-24,f2ec4e2d0568690e59a20f06c6748aa1
2020-07-28,22067.0,2020-07-24,6781a9f156679f592fbd5986b6e75bee
2020-07-29,22067.0,2020-07-24,032e16f762d621e9f404188f86fa3478
2020-07-30,21884.0,2020-07-25,799fe8004cd83e2faec5e96ea39886cc
2020-07-31,21884.0,2020-07-25,1fb804f7cf35cd2e0a9d97e64bb6d5e1
