facility_id,page_downloaded_day,facility_cases_cumulative,facility_cases_current,facility_deaths,facility_name,facility_listed,ice_date_updated,page_id
BERGENJ,2020-03-24,1.0,,,BERGEN COUNTY JAIL,"Bergen County Jail (Hackensack, NJ)",2020-03-24 22:19:00,0e40e8ce107e8267361830b71e82d229
BERGENJ,2020-03-25,1.0,,,BERGEN COUNTY JAIL,"Bergen County Jail (Hackensack, NJ)",2020-03-24 22:19:00,2c51b8e26beb030e53e410c126030023
BERGENJ,2020-03-26,1.0,,,BERGEN COUNTY JAIL,"Bergen County Jail (Hackensack, NJ)",2020-03-26 23:04:00,fc070ab3343ae77d682a557fe9be9786
ESSEXNJ,2020-03-26,1.0,,,ESSEX COUNTY CORRECTIONAL FACILITY,"Essex County Correctional Facility (Newark, NJ)",2020-03-26 23:04:00,fc070ab3343ae77d682a557fe9be9786
BERGENJ,2020-03-27,1.0,,,BERGEN COUNTY JAIL,"Bergen County Jail (Hackensack, NJ)",2020-03-26 23:04:00,46d908ecc3e363501e3e2f896618324f
ESSEXNJ,2020-03-27,1.0,,,ESSEX COUNTY CORRECTIONAL FACILITY,"Essex County Correctional Facility (Newark, NJ)",2020-03-26 23:04:00,46d908ecc3e363501e3e2f896618324f
BERGENJ,2020-03-28,1.0,,,BERGEN COUNTY JAIL,"Bergen County Jail (Hackensack, NJ)",2020-03-26 23:04:00,8cefafd24ac66feb76bbfd5c9795b1f0
ESSEXNJ,2020-03-28,1.0,,,ESSEX COUNTY CORRECTIONAL FACILITY,"Essex County Correctional Facility (Newark, NJ)",2020-03-26 23:04:00,8cefafd24ac66feb76bbfd5c9795b1f0
BERGENJ,2020-03-29,1.0,,,BERGEN COUNTY JAIL,"Bergen County Jail (Hackensack, NJ)",2020-03-26 23:04:00,e584c2d9d3017041cb429cd86573ac19
ESSEXNJ,2020-03-29,1.0,,,ESSEX COUNTY CORRECTIONAL FACILITY,"Essex County Correctional Facility (Newark, NJ)",2020-03-26 23:04:00,e584c2d9d3017041cb429cd86573ac19
BERGENJ,2020-03-30,2.0,,,BERGEN COUNTY JAIL,"Bergen County Jail (Hackensack, NJ)",2020-03-30 20:55:00,1a3c7cf80032f56c2123d5ef9895c8a8
ESSEXNJ,2020-03-30,1.0,,,ESSEX COUNTY CORRECTIONAL FACILITY,"Essex County Correctional Facility (Newark, NJ)",2020-03-30 20:55:00,1a3c7cf80032f56c2123d5ef9895c8a8
https://ice.gov/detention-facility/montgomery-processing-center,2020-03-30,1.0,,,MONTGOMERY PROCESSING CENTER,"Montgomery Processing (Houston, TX)",2020-03-30 18:56:00,811bdec0930a4e334bea3d8603368bef
HUDSONJ,2020-03-30,1.0,,,HUDSON COUNTY CORRECTIONAL CENTER,"Hudson County Jail (Kearny, NJ)",2020-03-30 20:55:00,1a3c7cf80032f56c2123d5ef9895c8a8
